208.1,-1918.1,-9302.0
83.0,-1930.1,-9374.0
176.0,-1896.0,-9429.0
212.0,-1906.1,-9498.0
394.1,-2052.0,-9542.0
248.0,-1965.0,-9518.0
184.1,-1891.1,-9415.1
196.1,-1970.0,-9412.1
188.0,-2047.1,-9305.0
299.0,-1970.0,-9348.0
23.0,-1685.0,-9352.1
100.1,-1697.0,-9712.1
385.1,-1987.1,-9996.0
162.0,-2076.0,-9498.0
1311.0,1086.0,-7087.1
-1817.0,-902.0,-9099.0
998.0,-4805.0,-7997.0
1139.0,-5021.0,-8129.0
-45.0,-4520.0,-7966.1
-1218.0,-5282.0,-7753.1
-1336.1,-5135.0,-7257.0
-828.0,-5272.1,-7334.0
351.0,-4973.0,-8021.0
299.0,-4760.0,-8141.0
-390.0,-4611.0,-7971.0
-115.1,-4946.0,-8754.0
50.0,-5253.0,-9039.0
-119.0,-4829.0,-8261.0
-266.0,-5250.0,-7301.0
-493.1,-5035.1,-6503.0
-304.1,-5315.0,-6690.0
-38.0,-5337.0,-6951.0
133.1,-5229.0,-6987.0
356.0,-5303.0,-7260.0
229.1,-5653.1,-7660.1
-40.1,-5578.1,-7763.0
212.0,-5957.0,-8007.0
47.0,-5875.1,-7822.1
260.0,-5926.1,-7545.0
-36.0,-5540.0,-7990.1
-625.1,-5550.0,-8816.0
-740.0,-5679.0,-10765.1
-488.0,-5049.0,-11165.0
-234.0,-4379.0,-9834.0
-519.0,-5447.0,-8771.0
-2262.0,-4661.0,-9012.0
-2353.1,-3811.1,-10293.0
-1415.0,-3201.0,-10820.0
-40.1,-2954.0,-9822.0
490.1,-3761.0,-8529.0
18.0,-4228.1,-7739.0
-311.0,-4290.0,-7506.0
-294.0,-4087.1,-7332.0
-500.0,-4254.0,-8301.0
-941.0,-3792.0,-9293.0
-1003.1,-3558.0,-9352.1
-677.0,-3773.0,-9077.0
-445.1,-4048.1,-8380.1
-570.0,-4123.1,-7645.1
-1034.0,-4762.1,-7609.1
-1029.0,-5018.0,-7552.1
-445.1,-5511.0,-7782.0
-311.0,-5406.0,-7516.1
-321.0,-5329.1,-6831.0
-471.0,-5416.1,-6592.1
-366.0,-5863.1,-6807.0
-450.0,-5811.0,-7459.1
-110.0,-5672.0,-7777.1
-112.1,-5361.0,-7985.0
-938.0,-5329.1,-8493.0
-1903.1,-5387.0,-9065.0
-2346.0,-5222.0,-9319.1
-2049.0,-5080.1,-9072.0
-2123.0,-4489.1,-9266.0
-2301.0,-3821.0,-10006.1
-1930.1,-3699.0,-10425.0
-1728.0,-3349.1,-9836.0
-1714.1,-3500.0,-8768.0
-1642.1,-3701.0,-7868.0
-1168.1,-4053.0,-7456.1
-1314.0,-4041.0,-8285.0
-1434.0,-4151.0,-8392.1
-953.0,-4374.0,-7427.0
-424.1,-4487.0,-7095.0
-299.0,-4625.0,-7444.1
-318.0,-4683.0,-7504.1
-601.1,-4894.1,-7360.1
-922.1,-5143.1,-6858.0
-1056.0,-5442.0,-6498.0
-871.1,-5684.0,-6807.0
-881.0,-5586.0,-7425.0
-1022.0,-5339.0,-7966.1
-1226.0,-5248.1,-8526.0
-1479.0,-5073.0,-8898.0
-1829.0,-4870.1,-9360.0
-1618.1,-4846.1,-9525.0
-876.0,-4764.0,-8864.0
